,time,h_values,x_halley,vx_halley,y_halley,vy_halley,z_halley,vz_halley,x_jupiter,vx_jupiter,y_jupiter,vy_jupiter,z_jupiter,vz_jupiter,x_saturne,vx_saturne,y_saturne,vy_saturne,z_saturne,vz_saturne,x_terre,vx_terre,y_terre,vy_terre,z_terre,vz_terre
20,502098.3284945082,23401.010598200573,203533374493.65723,-10405.040385765255,820263530003.2294,-13069.072944398396,-177267196877.72516,5612.238056265825,-177180021765.19592,14413.881719360723,-764422236559.1329,-3332.9144820122788,29645673504.15819,1051.9564733473183,1147809963142.8027,6009.482727066513,-892274400778.4036,7727.125596480269,139679786718.4755,-2.9875093786880997,101815308847.22343,-20462.82506486102,106913990838.93884,19173.310421673657,4727167655.717321,-3695.584206107057
21,525496.9416536663,23398.613159158132,203289899493.33118,-10406.022122210064,819957685512.9196,-13073.03175251923,-177135868285.19498,5613.093340345399,-176842743637.11105,14415.016947965461,-764500164778.2478,-3328.01175650082,29670285601.76937,1051.7662675751749,1147950563319.2756,6008.338606483333,-892093586351.6412,7728.014858281976,139679715186.09525,-3.1267316331663206,101335361196.29616,-20560.69867572964,107361412829.08084,19070.077141255966,4640643147.98661,-3700.0974144210677
22,548894.0070685553,23397.06541488906,203046417627.90823,-10407.00389668884,819651768588.762,-13076.99398080176,-177004528363.54263,5613.9490480957775,-176505461284.11118,14416.149935149726,-764577973131.3887,-3323.108870596849,29694891619.418724,1051.5759171389777,1148091127425.6746,6007.194421570345,-891912763081.8623,7728.903880967378,139679640401.16315,-3.2659445931285593,100853160636.74516,-20658.11900748694,107806384707.58615,18966.403002114646,4554019738.001905,-3704.5276704839594
23,572287.6492267313,23393.642158175942,202802948419.85312,-10407.985629731096,819345803696.446,-13080.959316000184,-176873187636.13794,5614.805111145115,-176168201801.93393,14417.280590472976,-764655655406.6605,-3318.206218874742,29719489582.42532,1051.3854374027067,1148231644199.6152,6006.050264121274,-891731945474.7354,7729.7925933056495,139679562370.71405,-3.4051370954927354,100368757020.009,-20755.076760727952,108248861121.68945,18862.29787134146,4467306337.2892065,-3708.8745494219006
24,595679.0527688304,23391.403542099124,202559479545.98013,-10408.967370272761,819039775289.4551,-13084.927963128523,-176741839447.98743,5615.661573044415,-175830948172.23044,14418.408971668125,-764733215568.2009,-3313.303554646041,29744080734.358036,1051.1948188330434,1148372120763.2302,6004.906076278504,-891551124385.5256,7730.681040342046,139679481091.98083,-3.544316185144472,99882137146.48451,-20851.575374817152,108688854941.72606,18757.758053995763,4380500528.06896,-3713.1382052932768
25,619068.4930160543,23389.440247223774,202316008144.43866,-10409.949129097478,818733679704.3827,-13088.899973463787,-176610482247.24664,5616.5184441197825,-175493696483.2404,14419.535092292163,-764810654548.5586,-3308.400821738725,29768665362.18769,1051.0040592841794,1148512558773.8953,6003.761844643475,-891370297695.7515,7731.569232558267,139679396564.88626,-3.683483496498515,99393306438.40407,-20947.61447268367,109126361621.37462,18652.78385549498,4293603253.5242743,-3717.3186144778933
26,642454.331279007,23385.838262952766,202072551278.94708,-10410.930836639076,818427538333.2634,-13092.875072972707,-176479125232.84076,5617.375664541152,-175156470423.23715,14420.6588739143,-764887966951.9885,-3303.4983652181036,29793241741.41061,1050.8131722325124,1148652948398.654,6002.617649463241,-891189478085.9558,7732.457107766895,139679308796.51642,-3.8226292756047284,98902310521.74123,-21043.185852043083,109561341037.37495,18547.384205730443,4206622576.2876725,-3721.415417547922
27,665838.0572985011,23383.726019494094,201829093446.73517,-10411.91255464827,818121331621.5286,-13096.853519102355,-176347760033.0623,5618.233289114322,-174819248570.293,14421.780388610909,-764965157734.3435,-3298.595874362916,29817811435.576378,1050.6221456311434,1148793298587.2427,6001.473417931754,-891008654049.2684,7733.344722569996,139679217782.47534,-3.961762382688817,98409129549.0777,-21138.29413141458,109993811491.59442,18441.553970660672,4119554931.824146,-3725.4288097435197
28,689218.4530483173,23380.395749816238,201585647334.89276,-10412.894231201151,817815075464.8357,-13100.83510891552,-176216393486.2813,5619.091273373631,-174482048549.62152,14422.899578415876,-765042222903.7441,-3293.693606106451,29842373162.77746,1050.4309895408105,1148933602035.0876,6000.32920973027,-890827835016.0255,7734.23203077183,139679123528.6421,-4.100875566764303,97913800631.16467,-21232.93287897694,110423741047.5393,18335.300236015955,4032406830.863003,-3729.358514847763
29,712594.1238016906,23375.670753373306,201342227475.44827,-10413.87580693052,817508788093.7998,-13104.819608575272,-176085033428.095,5619.949566263061,-174144890540.58847,14424.016377381724,-765119157911.0995,-3288.7918545350603,29866925456.463547,1050.239715501397,1149073850383.1326,5999.185093218204,-890647031787.6823,7735.118979510314,139679026042.32272,-4.239960525504737,97416365138.52034,-21327.09504778124,110851095106.1703,18228.63098746065,3945185463.72454,-3733.2042452348887
30,735968.3752928238,23374.251491133073,201098799451.2938,-10414.85741985143,817202426143.783,-13108.80758570262,-175953661278.50082,5620.808289345306,-173807726923.97476,14425.130943995819,-765195973670.4971,-3283.889928043072,29891471786.867424,1050.0482965809097,1149214063472.263,5998.040906683236,-890466218807.8436,7736.0056942627625,139678925311.0155,-4.379036924265818,96916764305.79607,-21420.792496376842,111275924887.29956,18121.532734367724,3857880476.8334823,-3736.96648138006
31,759337.9650818662,23369.58978904247,200855397037.08688,-10415.838932996767,816896032062.2255,-13112.798491255688,-175822295257.79587,5621.667323686297,-173470604531.34845,14426.243124191957,-765272659559.858,-3278.988508204069,29916008747.049583,1049.8567594496221,1149354221859.514,5996.896808930584,-890285421170.9031,7736.892052071813,139678821349.96497,-4.518085466865541,96415079037.52548,-21514.010767542666,111698162275.47124,18014.02192643064,3770505962.247496,-3740.6446377024167
32,782704.0548331302,23366.08975126395,200612008143.47144,-10416.82039434128,816589590580.5507,-13116.792527289732,-175690928835.22562,5622.526712109302,-173133506669.09573,14427.352974089907,-765349219440.1307,-3274.0873530243193,29940537555.393497,1049.6650947243888,1149494332522.6804,5995.752743193035,-890104629904.7645,7737.778097067267,139678714155.7086,-4.65711306147994,95911296317.14377,-21606.753096622328,112117819452.36392,17906.094871369787,3683059570.1631413,-3744.238844501724
33,806066.153802553,23362.098969422703,200368637891.012,-10417.801782458919,816283108092.4735,-13120.789613760953,-175559564768.17404,5623.386436707745,-172796440480.10904,14428.460471123388,-765425651747.4928,-3269.186567066285,29965057695.23814,1049.4733065617675,1149634392528.7014,5994.608733596708,-889923848820.6421,7738.663810702704,139678603732.0627,-4.796116784492904,95405438580.16154,-21699.01611752869,112534878732.19127,17797.755469769076,3595545127.1837826,-3747.7489702029425
34,829425.2359847478,23359.082182194776,200125276141.4232,-10418.783137452361,815976571775.1143,-13124.78992127595,-175428197577.66202,5624.24653348206,-172459391973.8671,14429.565662142746,-765501959709.1019,-3264.2859476210156,29989570187.22654,1049.2813870921898,1149774407725.623,5993.46473254007,-889743070395.0665,7739.549229961702,139678490075.88782,-4.935102427437578,94897496552.89989,-21790.80224394439,112949348594.63199,17689.00082612856,3507960972.636391,-3751.1751024986784
35,852779.6957545399,23354.45976979218,199881939631.6454,-10419.764391047665,815670002657.2402,-13128.793178684973,-175296836291.9965,5625.106943449735,-172122384381.14282,14430.668471947341,-765578138125.0829,-3259.3858331692854,30014073345.00655,1049.0893496402236,1149914368499.1272,5992.32081875717,-889562307068.4921,7740.434294047903,139678373196.5919,-5.074060433211846,94387517080.51286,-21882.103752627034,113361191788.19432,17579.840055371078,3420315118.2944617,-3754.516950662121
36,876130.8311131601,23351.135358620206,199638614846.98734,-10420.74559695802,815363383660.5378,-13132.799612232915,-175165473609.3033,5625.967714558817,-171785399035.2781,14431.768962640006,-765654191276.8767,-3254.485953007678,30038568529.069683,1048.8971836685198,1150054282638.3838,5991.176928773176,-889381548809.1532,7741.319052219641,139678253089.33856,-5.212998521178122,93875483820.12296,-21972.924312780317,113770422533.26909,17470.268739340758,3332604686.410909,-3757.7746468860714
37,899478.4025097262,23347.571396566098,199395304291.62976,-10421.726744298123,815056717884.3654,-13136.80918483104,-175034110874.7824,5626.828838139568,-171448439455.1425,14432.867123596054,-765730118424.1101,-3249.5863590062654,30063055486.475792,1048.7048912736277,1150194148716.6375,5990.033074415308,-889200797484.727,7742.203495456255,139678129756.79886,-5.351915262327258,93361413908.41013,-22063.261555473862,114177027831.84839,17360.289622852946,3244832565.333516,-3760.948098554239
38,922821.0095395255,23342.607029799263,199152022569.95242,-10422.707773386468,814750023686.4359,-13140.821659605197,-174902755967.38467,5627.690262650573,-171111525916.3388,14433.962889840905,-765805915064.5317,-3244.6873466977418,30087532747.303516,1048.5124841310028,1150333958356.0056,5988.889324399871,-889020063952.3265,7743.0875707829055,139678003208.15073,-5.490802320655009,92845350313.59724,-22153.108674211977,114580974808.85774,17249.910968965545,3157006016.439213,-3764.0370649841375
39,946159.5049813589,23338.49544183344,198908760805.36505,-10423.688719225976,814443289829.1672,-13144.837186640465,-174771404088.72784,5628.552019654523,-170774646175.72272,14435.05630237763,-765881584023.2039,-3239.7887387720275,30112001204.77156,1048.319955358506,1150473716676.5037,5987.745637053994,-888839341625.4218,7743.97131057871,139677873440.66522,-5.629664766476663,92327286416.32272,-22242.46757984009,114982269869.75948,17139.130427377462,3069123830.5489726,-3767.0416116823017
40,969493.9670425638,23334.462061204966,198665518192.60114,-10424.669584269594,814136515245.9644,-13148.85578312038,-174640054797.87555,5629.414112160046,-170437799168.19495,14436.147365713558,-765957125602.8574,-3234.890520451303,30136460939.597324,1048.1273044487723,1150613424157.1965,5986.6020086487415,-888658629913.4054,7744.854717875403,139677740455.60754,-5.7685030614503106,91807232615.39127,-22331.337171851123,115380905897.14369,17027.949284737682,2981187708.3661237,-3769.9616964009783
